id,nome,nome_mae,data_nascimento,cpf,cns,foto,created_at,updated_at
12,Diogo Santiago,Srta. Miriam Montenegro Roque,1973-01-17,408.979.402-10,F3NZBpyL3MTqBvc,pacientes_fotos/nfybiAS6HOOaWLxlqwecFtdVXYzyIW9BQegjC2TXjDpu79ON3zpWKNyt7Q4BJq8ykeEp9xBTacQZyQk4c9qg5vrYQAVG8tIeNy7keOeTVvmUBfLchmnNp0Sfjr7X6dZJUmjAfDikYWzlN0mx2fvVlSz2xSWeGgR075dWZ8s30IKK5Sa4D.png,2023-04-02 16:48:59,2023-04-02 16:48:59
13,Renato Ivan Romero,Reinaldo Martinho Jimenes Jr.,2006-11-14,244.502.342-43,UJsk7qbFpCr5jOM,pacientes_fotos/696GgsucfPt7OPPNcdOHdvRDuhSCuBCeQnH5U6jwxtF7LXyoFNXdsp4xPFqgs9yk44eKx5yzW095zz9dtvR7OYpIbtX1YmngEk5HgzyMwBB4epR90Om9ypkA8KTE39F4m9iZkb6RuVZaLzN3QzO3rgljVUqOODrEEEGIwyFgb6Bw65nhO.png,2023-04-02 16:48:59,2023-04-02 16:48:59
14,Dr. Patrícia Galhardo D'ávila Filho,Manuela Lira Brito,1996-12-11,001.904.259-03,zEOjMi00ALLPMJF,pacientes_fotos/Fp0x931emlbfCSballQXb0O6dX8BOSr2rodPe0QpKdd7grIBuyQVFhMLCVRphGIaK3xfpak7Msbxmr5zPgINrniA9uJg1dnPKbuhmpkm6Cuq08i6ZQqSURMjq1kzI1BPKChe1aG0aEdu6J8m5E8J3nIkTQ6d85LlVifKZnHVLZw969AbI.png,2023-04-02 16:48:59,2023-04-02 16:48:59
15,Heloise Rezende,Otávio Deverso Filho,1981-08-19,154.472.009-20,aDRxiBI6LkhvMtY,pacientes_fotos/EQPcWhUYPLNpsj3YH2qgkt7egZ4xhZUZoAdcuH6ou9nbxMQzsJzwuzKwApdRSZKjRyioyZbwPVUHzqRmKofPFPwhJdn5wB93bODNwny7pbRoNyQg3fLKcoMtkqcqYLU2WRkFl9lPRaT0oYjkmkF4P3YIAE8WgX8TfcOmXfb7d8pc5abZJ.png,2023-04-02 16:48:59,2023-04-02 16:48:59
16,Dr. Ornela Verdara Sobrinho,Samara Garcia,2018-05-03,743.123.220-90,eB0qX582cYQCdvE,pacientes_fotos/li1nLJtDJ3jYZ1Nnz9Uhju6vnrjYQFHf9Xd1GprOkcKBtw6Cy7pZ7EL1DcmXdz79ek1qbdxuM3hxkUzGFahKfcDQWexuq77M8mTMmUZZawkHdR8k4r4PIeqxOOmMZm7B9zEf3vIeVhKjfxGxAkMO8gBSfYhjPjT9EeTMWCZ2sBy5NAO5t.png,2023-04-02 16:48:59,2023-04-02 16:48:59
17,Carol Julieta Ortiz Sobrinho,Sr. Manuel Gomes,2005-07-29,598.582.112-95,CaEjNqYnyAVgHBM,pacientes_fotos/Kdgxm8nQgrEXdAVHOVBwbKrxWH1wtpyAiHZvg51Opc9M10F17NaBMq9anvFJ0VXG4zWM2sqYLHNgog3qVatekktXUXjoPWfLxomkN9AETlf2ezcw9eGJUn3a6b9ihsGjBobOkgf0pJ7JcNBeKWsLdWDHXBFHOVeK7gVL2TUnBcY6lLepS.png,2023-04-02 16:48:59,2023-04-02 16:48:59
18,Simone Giovana Bezerra,Lilian Luara Alcantara,1979-08-14,261.632.953-07,s9FoLsC8qwIHjCH,pacientes_fotos/qQsDJnoj9eCvKb1ZPPISUmrZxFP86YzpdvhLcbuCLZRyhtwnRd8Di7rvmmBTMfuSmzey2JjZ7G6Cx0C9HVzWEpsNORQ5S2qkFzqjZZ0uq1QAH6cr0LAeManQbzhG86ItNeoT6OuQyZcTMlutKnQdKsqX8xqqHXTZ0hB4nUr9BYyBfCRa4.png,2023-04-02 16:48:59,2023-04-02 16:48:59
19,Matheus Rios Queirós Sobrinho,Sr. Simon Dener Corona,2015-11-10,168.502.359-23,txiYnbhkNgKjENJ,pacientes_fotos/rxw2FUTpsdAoLCLmQbvsTZI2kb8d6tCwdTeXxDy1WMcedezeqGWq8nqPUsckl0Ch5rqkqnHoH7jruf7P77opRwcNFycaZAHgMTPIbgxqJsT7hh5GHBxTGPxPmB49lRSMC3OA4DEQbkZdMFMHYGR5ugYJCgQlrupilaHHmQ8uLDY5m0z7k.png,2023-04-02 16:48:59,2023-04-02 16:48:59
20,Dr. Louise Rivera Jr.,Cléber André Flores,2011-10-27,308.196.235-80,MBHibxw1pjryKJ2,pacientes_fotos/OoGVuGWLI0xF5umxkDY3X3ZXm4N7COBh9b4zVybVVFidSRdjTddSGWmTICTB4bl6XwrczHHcZCLNZZoNINh7iIYkPMQ1iiYQqfpy6OXbT6GlA61xDR8yHz7bzMM0MXy6n08k0fZwT6id8vpNU7qrsDemOzBUtVssvOAMai7pC2eB0ZFfj.png,2023-04-02 16:48:59,2023-04-02 16:48:59
21,Karine Ohana Padilha,Sra. Mariah Laura Mascarenhas Filho,1974-01-30,786.425.067-09,mX6KCjsTMuCg6tQ,pacientes_fotos/Rr5Gu179CnKx3rFviNfZzKbzdCA6lvfc8DtrruvAi60eKL6IkJapUG2lMVO2CkytEKqLjWIT6od7S2kOTDSIJSnI0btksMYASmAa9dCcjy2iEqWDNFc7dcuQQLY2T8TeWCi8vM8hkyLhi4DSFocjpSkoworRPggULdyRY7gGbJUeSX8OK.png,2023-04-02 16:48:59,2023-04-02 16:48:59
22,Sr. Noel Grego,Nicolas Antônio Cruz,1994-08-26,952.361.372-33,8U1kYZ8Q8f99Hqo,pacientes_fotos/cWvnqZFaivkxS7nH54UMhJhAnv2CdJbtGNEDk9M09nKziF556pe8pCxbQ1l66Y0NjIWLmYVgfIxh8oM9kA5sVBIsoNxdGAv1jhwxUCua8oDc0yX7UaPgQCZJFwOqGNjHDE5OOtlVTNtdbhFnDbaACFzuxBLmALSHsxLfxrCjMSNYzFM3c.png,2023-04-02 16:48:59,2023-04-02 16:48:59
23,Naomi Pena Filho,Dr. Larissa Ferreira Tamoio,1977-02-21,203.429.601-05,HBd28zBAPAs0uVa,pacientes_fotos/cdE18MZQzEvdnMuu3Qy6HdT3OLACElhhgD5p46SHZo1T4WQrwNpuqPIkVjmDsWx1FwhHpqGqCIZXeFdBoOP120yrDsPHgWy2SAWt2y3YNK2NsBVpHiB8938EoBO345hUtsuH8d3j6pfliy2bIzVprPWovbxyEikbOKraYTPlfObZro5BA.png,2023-04-02 16:48:59,2023-04-02 16:48:59
114,Verônica Barreto,Sr. Simão Faria,1987-03-05,012.652.313-46,IeEA5Jag4Rjb5nA,,2023-04-05 00:16:01,2023-04-05 00:16:01
1,Sra. Karen Maia,Elisa Abgail Espinoza,2001-09-26,846.452.450-15,N1IoWBnoosWfdzl,pacientes_fotos/5qJ6Ag8kgYy809L7gY7HGLuvqWXR71cihUigi5Cd.png,2023-04-02 16:48:59,2023-04-03 23:31:50
115,Danilo Valentin Beltrão,Dr. Raphael Franco,1982-08-24,283.959.673-30,ZphWNiKQ2lFptrk,,2023-04-05 00:16:01,2023-04-05 00:16:01
24,Joyce Matos Filho,Dr. Benício Samuel da Silva Jr.,1971-12-25,288.121.510-60,fVUc1GXXgU0FcUF,pacientes_fotos/CFO3ShjyczN8MSHlOQFZYS67G31ZtLOrPwy8IzqHhj8PnqcLMYvlP6Nm4BFjQzjLrag4RsZQgnOsx5daza9zDfwn7BA5Xxl0KzERaBWqgA82mgzUJYQHGUo7DlZizrRTQxtZKQn9aT3JSLwi4oW7Gcxrq14DjDeapMLLzFejrMtohzNyH.png,2023-04-02 16:48:59,2023-04-02 16:48:59
25,Srta. Suzana Aragão,Lúcia Galhardo Toledo Jr.,2013-10-31,296.654.181-49,v18KLlGvjvzeIal,pacientes_fotos/7ppZ2ewwiYPcHi3G39qEO1Ww6MhbjCBXI3RGruFKGmonGiHQlKfdWRcP5ileDplaivTC2YzT2fPj1PKt137RnpEfsLsCDnBDaAyYLnCTmdcfiAwCnBpRklzPSeHrSw95l6Sa8xkf6HqumrwvuNqBNnkQy7FvaxNMjj6TXFYIbhgGG6DOW.png,2023-04-02 16:48:59,2023-04-02 16:48:59
26,Denis Davi das Neves,Lorena Estrada Rico Jr.,2014-08-29,015.483.065-84,pd2ivlzENry4Nrw,pacientes_fotos/E3jJbuLYFpaie5E99B4bKZiSngwjFtZzb4Wf0kpGV027zuBx5HsxcyNsP5oWsDFVgskIn81Hkx4BvBL4KNivEXIwJiYhD0ntjLCL90Vxf8KPk6rxwwHuewHaCkxRsnyzYtEvuQEabanejvteVebOPBkR6I18oNjJ7nGoLhRR1kqVlY5tu.png,2023-04-02 16:48:59,2023-04-02 16:48:59
27,Josué Wagner Rezende Filho,Samara Ávila Neto,1999-06-22,112.823.008-90,lCNulmL2uubjPmW,pacientes_fotos/EZvSZI2Gd0slXQyqMNolhNoptM7nKC6Hzf2dKPcmlUxD3pvE6w67oC9HOgMSAFkSlwr4W6967ikTRSWtdWntJhbyC1pcTi6NPLKJigJMAzNRvg2rfV5B6XEmgzyc7fm2moYOjp05Sk8othJiFeOhjtZA5lCSE5mkIaJxGdsWsnhfjbrKd.png,2023-04-02 16:48:59,2023-04-02 16:48:59
28,Sr. Willian Benez,Gean Camacho Ávila Sobrinho,2011-04-17,119.199.611-51,RbuAky64oTuB53Q,pacientes_fotos/ASDSKH4RCxKK8VyMZMckTIwRyROSzGfuBPFHncmL9qsnPPVLZzvV5K8M2CWJ5qynJpvIMcCJ8R020j2wA3GDYHztwbVVfJaO5lIr1U9h4JABlA22FNaIuRKW0rTtc3DaisSe6Stybcx614iR6qnyDnj70OBdoF3zfgxzLJQRDlGTN2irG.png,2023-04-02 16:48:59,2023-04-02 16:48:59
29,Caroline Padrão,Sr. Ícaro Correia Roque Filho,1972-07-04,407.895.591-61,0kUhg5aCa4qC5qn,pacientes_fotos/8St847FABZ1reDwGZ2tJ9a83Vkal9k4IrvRvPS3TQNlOeejmdEy7zFg7etbY38lvxc5yR6TZEIrvVfd8ECdosQjVES9KToJaw4XyyMEsTufMUTo2TETWjqyPNJX4vnHl5ykbt6odZ9PQMOlXZnDJpCoeNp4lDIyRxXaKBA8eVv4Lx6Asx.png,2023-04-02 16:48:59,2023-04-02 16:48:59
30,Fátima de Aguiar Jr.,Sr. Leo Reis Filho,1988-10-11,784.744.610-30,WkHDy04SJB06qUt,pacientes_fotos/D8qcgyOd4aRONvfyAi8Zi7EEMxR391cXmU6b7D8AtS0T3996z7pwszqJkzF9nDg9oVm60nIAOtwuXTrMxuzsmVuu9XMjAJr2rlblBfxsMQw3hDJ4aLsUqY90301C44d12CqFXaGBfjEKVA7QGJ9kF1sEXrU29vsRMWTmCepzlwfbMxtEk.png,2023-04-02 16:48:59,2023-04-02 16:48:59
31,Diogo Lourenço Jr.,Diogo Fidalgo,2018-09-19,778.311.813-50,xkQf1KytV3xk84Y,pacientes_fotos/p27KhLBG65eER2Mo4mvtZjiCvZ5uuTFxUchuU9QO5iESd7z7poSWBs4ERvCuUGDAijowvfognOxIvymkZ9ApwQwnc8fvMBumGB51AkjHrsF1wGw2xQYgPOiGI6LCfvFBVifWN3a9p8bWAX7FRiFTJwQCsJto8L49Ht8lKTVJqFivsPvpz.png,2023-04-02 16:48:59,2023-04-02 16:48:59
32,Sr. Denis Abreu Neto,Stella Esteves Valência,2011-03-16,947.846.074-98,fkWd5yPsly1hOkm,pacientes_fotos/8X0G6gav3gqY1ATIcV0gSiQUNduQEjWc5639CAxdH9gEgPo8nNVLEV6rAPSFXEmhU6pRHzi4nv9tjenUS5A7FIBbUY9c6NfzNl4m0r0f8iXqtoB0MWWZPjwrd4mNuult1bwZL9g01Qxi8XYecjXLpLXVI75jQpI2vll0qgAjlgA404vwi.png,2023-04-02 16:48:59,2023-04-02 16:48:59
33,Srta. Laiane Mari Vasques,Ketlin Teles,2003-01-03,940.357.026-17,NwyrLgoG9ogUj6v,pacientes_fotos/djId2lR9fCuHu6puPL7pL2Gvgrk3h0l42TB49LomS0Y7SgKV2AsOkXShlnSaqxMKCnUnjc7uUJo2N0wyWNFvGt20HCdYQJQHmURn1novsnyVJPgpbgh7QvxXbNG4FZED9N31RXoBvrNSDom71qzZC6yIUKJyWdEpHlnB5Y7ZlwdJjTYRb.png,2023-04-02 16:48:59,2023-04-02 16:48:59
34,Joaquin de Arruda Rico Filho,William Guilherme Saito,1977-01-26,607.730.129-90,wrflFLxWlFjwkAO,pacientes_fotos/krBz7D3a4pBNswFnOsR86Pl0udHMEowEt7sD6kwbWFm8mFfZh5wanHrI6UcQpMrCq1u1AtciXjAmAQl0nBCY0MY8Q1oUBqa56n7k91bEW8Bky78R6DjSy1TysSYQigtTYRcnGiMvLSFHdd88ksAgVloyrQ1y9eSZ0P8pqnYuCAHtcfG5J.png,2023-04-02 16:48:59,2023-04-02 16:48:59
35,Gustavo Colaço Neto,Dr. Maitê Ariana Bezerra,2001-05-03,837.614.251-80,5XbALDwyQbiVuXx,pacientes_fotos/5dqTJIlYfZPQEzMgg59RCnWAYS16PhNQJN1QnAPc6iSnAQ9NnKtAzcxACQYSPXSLFVASTYYsAhQ0C0vjMQeQbIp6Fqm3r432pHL0MAkOFdmeDT4A83c6bkuTxbp0ugDXXwRlpjDl9lawsb9IbCDP1xVOnO1KmMwo8CF7GelessV2HC4ef.png,2023-04-02 16:48:59,2023-04-02 16:48:59
36,Dr. Larissa Faria,Everton Bittencourt Jr.,1984-03-26,811.857.938-79,9EyVIotHnCs66Vs,pacientes_fotos/lD2b3ReFIiKs3eIT48t7iq3iAGAHAEBJqb0LTouiJxRkav1KWieyYPXBfFMCCeM67D2sRVmEN6QuRISQwENxjpzAafbd61Gsr4A5mvthb61YR8vPna4aHrohyBILkmJdnqy1YdIw4FomS9VcLp2U7YmSEILgQXJfHlecKMSUB4o7WlXIc.png,2023-04-02 16:48:59,2023-04-02 16:48:59
37,Verônica Barreto,Sr. Simão Faria,1987-03-05,012.652.313-46,IeEA5Jag4Rjb5nA,pacientes_fotos/sNtA4xWRe1BGs8liA1FcHkJxSVzz9mNtykmlksKOQUOzUSmSgro2NUlm0rMNsa0kBSBrVn11ZoXsYM9hC7KOWGuP3SgSOshbjbuIrAizewPcorjBYY0Y33H0KkTR0VRDwiNkKGdDlLjeT0AK8av3FgYMJR0OWjnyVGbPVg23WI5GwZWRv.png,2023-04-02 16:48:59,2023-04-02 16:48:59
38,Danilo Valentin Beltrão,Dr. Raphael Franco,1982-08-24,283.959.673-30,ZphWNiKQ2lFptrk,pacientes_fotos/kciP5AvpUAYjsNorGvErnM3xsucMNsfkrmjRcyDx2P4RthOjzQeFhP8lVWez4hcsKto61Ddr66Wtt5KSjTajmMV3gVSzpaLjct3m1V9JBVMFpTNnjqsOhvtnBe42bOeITOvEDhzFmcs2wZaLxAHqIj6FIWF3RiycKs2bZSy0JE9tz9Zii.png,2023-04-02 16:48:59,2023-04-02 16:48:59
39,Kauan George Ferraz,Mauro Pontes Medina,1972-09-02,622.804.317-00,jzTBa33yKOtcQdz,pacientes_fotos/w7Sm1BagYphdwPT3wduY60LnWz98C2qLA1JUbUvHvA04l2wria1g3iqlwASj6NIDioMngHtRayZERjz5ANO5AaRbRXQc2eFix5xIVTPG0NhIbF5Gqlo2kodIsokh8tAKgefsgxmBAklSmx43GqGlcn5cB4X6tt4X7xkbeYgat8L0mnJdM.png,2023-04-02 16:48:59,2023-04-02 16:48:59
40,Luna Rocha Leon Sobrinho,Sr. César Delvalle,1998-06-26,277.715.325-60,QEFre4b9qZM5BQx,pacientes_fotos/AhFoRZmzH3SlJPnFzUbqOztb5JZpjObhkg7EfHPPc5O2Jo48JEpykWWrZ4sCl1h4hDMODNwN7GbLAVoE9wS2Nf6rsZngjLvGLCPCzXLTIhuDH8nLQOZcng7avQcs8Nh6px1TJyQutZ12nL436rkMhl1BbsjIxnYMTrEfmKyWLYh4txVgu.png,2023-04-02 16:48:59,2023-04-02 16:48:59
41,Sra. Laura Pacheco,Dr. Eunice Giovana Gomes Sobrinho,2005-11-30,681.094.569-52,Vt7mGwLBqMJpys9,pacientes_fotos/fnolzllLuYMVKeJgBrJJvUapiY4WtZEBGECiHbaHeJDv1Ll5rekEVq8uKi9sh5TGVe5O5GFdh4X3iUvjgKxS5hZ0kgmsgl54kBwX2kx3klKdrzwl4d5TRRS5ZaeKUkdEkHKJHH0S4FQqllzs4blVmc9rqpCdcFrX2WLuoObyu3cGb3ZkY.png,2023-04-02 16:48:59,2023-04-02 16:48:59
42,Dr. Hortência Rico,Dr. Elias Valdez,1972-01-02,222.990.847-20,mNS8MbTOF47IB39,pacientes_fotos/0pHnMPjcU9XMWBU7dbckkgxEWFcjueNdZtxf3t0awa1jKWkR9dEqJHHyBscxjyTpsvlbDxzd8HdEjngHsL16LgLVxNmeFhw2bN4a0jUl7xSk47Jjvsb1T3uZ615pz4UC9HynM6gdpks0bqqnqqadEc9ak5Pe0LqI9CUjetYcjCqSwffo1.png,2023-04-02 16:48:59,2023-04-02 16:48:59
43,Dr. Valentin Serrano Neto,Santiago Jefferson Toledo,2019-01-16,887.227.719-13,lKte9XAe13zMQPZ,pacientes_fotos/O7SViydZPbA92fuTxj7wIZelHLxNZyvAOTRMqgOlX0ITIDRqFUHxZa3cj84acbgZKvSlRsBRWoFyXAJwCc7aYAYnQC88NKpf9jwRsLmymUhk1brhD7Yh9HGrUH9IVE0urLbLYhzXB3FctYkAb5ofWSGA1NWWS20OVrnjPXST1DepWXNYH.png,2023-04-02 16:48:59,2023-04-02 16:48:59
44,Dr. Demian Teles Neto,Hugo Galindo Assunção,2016-12-06,229.794.604-00,eU0qfwhZi2srG8Z,pacientes_fotos/hz4yMpu86dkvmTb94kEl2g9w6rhXYZAmCtDaQtOJCF87bpcwmRpmSlE3VdmNvloWiA8voOuyBjxBYhk39ROE3Bf9giJCdKp7vCIjSTyNlETSFEuCPgJ5Llw6cufdXwcLigprnbKUWLiybPwxoc85s9DkahIRGf4xW9UTDS0hRDRtIS374.png,2023-04-02 16:48:59,2023-04-02 16:48:59
45,Srta. Pâmela Salazar Sobrinho,Sr. Juan Marin Ferreira,1980-10-28,316.441.484-63,9SrMA05VgpN6w9x,pacientes_fotos/OPnGBM1aWU8oAMVOa5nCGLGbyveZ6rCfSV2ILGuhVLUPat0a9PULNl3sLqEP1dRDVb4ISlAygITDLXbCYLUN2OKovfRxxmEFTdRmYO14xlfZePlqRYQB5pAMR44bh4O1gK0iYaVMHJGujjs86QxCSNetJ5oULfvSp3z3GODkM3TG768wH.png,2023-04-02 16:48:59,2023-04-02 16:48:59
46,Sra. Ellen de Oliveira Feliciano Neto,Dr. Ariana Taís Zaragoça,1989-07-23,477.282.765-06,Zo9vcg2ocjisglr,pacientes_fotos/8kayuBkZ2X0LX0bDbsMMWmfE9OPJWnC5xUNzN8HdHUy57275RgPDLESC9x2f0682UaMWmx09epNNAvhLvV2o2iDmxqLfpLm8D0RvzhoaR6cHS0AcU59cTbr2MHb2aeoSZ75iDmd3TbHyd2Meb0IiE2jdbMJVzQtLs3GdkUM3wa1882uJq.png,2023-04-02 16:48:59,2023-04-02 16:48:59
116,Kauan George Ferraz,Mauro Pontes Medina,1972-09-02,622.804.317-00,jzTBa33yKOtcQdz,,2023-04-05 00:16:01,2023-04-05 00:16:01
117,Luna Rocha Leon Sobrinho,Sr. César Delvalle,1998-06-26,277.715.325-60,QEFre4b9qZM5BQx,,2023-04-05 00:16:01,2023-04-05 00:16:01
47,Sra. Louise Renata Faro Neto,Fábio Corona Pontes,2001-05-10,690.303.345-92,2nMi8Vy0ysj1OUI,pacientes_fotos/siOJU011nBwWgPTtWVzse7BgnPAUIGmkGnUxPAAXVWi6fuccWweaH8lDUcn3U11ppOq41J7BkL0gcEp9mMCnRtn8w1JbiI0TR7KHLsW7ptkoLNQOHNMoU5d6pYQEID4P3t6aHle57Xg19tcuUldRMh3lHzZvOpnHCmEVxTfmDxOURKIiZ.png,2023-04-02 16:48:59,2023-04-02 16:48:59
51,Dr. Reinaldo Everton Batista,Raphael Chaves Sobrinho,1987-07-08,620.527.972-03,jVx6dgoJ6Purkys,pacientes_fotos/FeQmQcyDIkrA1kvBqUArB2TunpEsLrKh9TeFrzZ8F7R6jrTpWBnxsRWt3xtJoTdVrvemDLQoib5gS5B88s3uXdIlZX7YYzH8J4AavLdhZMur8MQl43axaqJ39edZ7CzauRtdnMdDzZd3Qkixe2sePly5nV9Ts9kne4OYeNLEvdGgoYWFd.png,2023-04-02 16:48:59,2023-04-02 16:48:59
52,Dr. Anderson Joaquim Cortês Sobrinho,Sra. Alexa da Cruz Franco Jr.,1999-01-08,594.655.330-50,efdv69V36npDeFz,pacientes_fotos/em15693nO6n8bSL3HswXdwymahYCV94gGaQYxPlIDGCwXJ8tqQo3EpiCUpKjOgCfux3ZtJQQuEbe3GchtohzFc4vRZc7GnEkvU5Xy1veJJtCTKgDMTAh3EWOcf55I13CBOesxrT5h2SsKC2uBRPPscWPtOkokW3RQzqpLAaNlezFYOag5.png,2023-04-02 16:48:59,2023-04-02 16:48:59
53,Dr. Nicolas Adriel Ávila Sobrinho,Márcio Ferreira Jr.,1984-02-01,579.543.273-37,7DCMUmv8xs1wdhD,pacientes_fotos/VrBXkt71bbiwCqcLuLTwSnvrodWk54l3SSJMm27sIDBb6lvmhjs1Tx3KZG2jzHmM3aLRU2gnNlua2jeUlZcxKdDzkJqukO4a82g10cRCPgwDwPZEboY3NGYQLghnxmFbl1kOMWyqDXD4HcNY942T3BwX9Imc15JVK9broCNfahbyCwyOX.png,2023-04-02 16:48:59,2023-04-02 16:48:59
54,Mirela Rangel Neto,Srta. Tainara Meireles Neto,1994-04-13,815.130.360-33,faywEmgZhXSBhNQ,pacientes_fotos/XgHV8289OVbovswUA3NcsKGTJFnCAlskRW9MY03Bu5mAjU0Fr1rUTCL7dbI8nB14YInXG8yh9itHZQ7nU2ww8tOxQc4wCnS6c0O94mWHUvGB0WkTSdl2VTiDuA8mYPb6eayP5fxp05X1IZPwnd9cqMR4cLK9GgWceoeE9VtKhJUDmkCP9.png,2023-04-02 16:48:59,2023-04-02 16:48:59
